id,focus,signal,slack,drag,confidence,score,lane
l001,nonce pressure,35,33,6,25,141,watch
l002,settlement risk,35,34,6,55,202,ship
l003,proof depth,35,35,6,85,263,ship
l004,event finality,35,36,18,25,120,hold
l005,nonce pressure,35,37,18,55,181,ship
l006,settlement risk,35,38,18,85,242,ship
l007,proof depth,35,39,34,25,91,hold
l008,event finality,35,40,34,55,152,watch
l009,nonce pressure,35,41,34,85,213,ship
l010,settlement risk,60,42,6,25,200,ship
l011,proof depth,60,43,6,55,261,ship
l012,event finality,60,44,6,85,322,ship
l013,nonce pressure,60,45,18,25,179,ship
l014,settlement risk,60,46,18,55,240,ship
l015,proof depth,60,47,18,85,301,ship
l016,event finality,60,48,34,25,150,watch
l017,nonce pressure,60,32,34,55,194,ship
l018,settlement risk,60,33,34,85,255,ship
l019,proof depth,85,34,6,25,242,ship
l020,event finality,85,35,6,55,303,ship
l021,nonce pressure,85,36,6,85,364,ship
l022,settlement risk,85,37,18,25,221,ship
l023,proof depth,85,38,18,55,282,ship
l024,event finality,85,39,18,85,343,ship
l025,nonce pressure,85,40,34,25,192,ship
l026,settlement risk,85,41,34,55,253,ship
l027,proof depth,85,42,34,85,314,ship
